ano,trimestre,categoria,tipo,instituicao_financeira,cnpj_if,cnpj_norm,nome_norm,banco_encontrado,origem_do_match,segmento,nome_banco,indice,qtd_total_reclamacoes,qtd_reclamacoes_reguladas_procedentes,qtd_reclamacoes_reguladas_outras,qtd_reclamacoes_nao_reguladas,qtd_total_clientes_ccs_e_scr,qtd_clientes_ccs,qtd_clientes_scr,origem_arquivo,processado_em
2021,1,Grupo Secundário,Conglomerado,ABC-BRASIL (conglomerado), ,,ABCBRASIL,True,nome,S3,ABC-BRASIL - PRUDENCIAL,,9,2,3,4,26230,24698,3810,2021_tri_01.csv,2026-09-15T02:10:27.951042+00:00
2021,1,Grupo Secundário,Conglomerado,ABC-BRASIL (conglomerado), ,,ABCBRASIL,True,nome,S3,ABC-BRASIL - PRUDENCIAL,,9,2,3,4,26230,24698,3810,2021_tri_01.csv,2026-09-15T02:14:48.085785+00:00
2021,1,Grupo Secundário,Conglomerado,ABC-BRASIL (conglomerado), ,,ABCBRASIL,True,nome,S3,ABC-BRASIL - PRUDENCIAL,,9,2,3,4,26230,24698,3810,2021_tri_01.csv,2026-09-15T02:03:56.118999+00:00
2021,1,Grupo Secundário,Conglomerado,ABC-BRASIL (conglomerado), ,,ABCBRASIL,True,nome,S3,ABC-BRASIL - PRUDENCIAL,,9,2,3,4,26230,24698,3810,2021_tri_01.csv,2026-09-15T02:12:53.398596+00:00
2021,1,Grupo Secundário,Conglomerado,AGIBANK (conglomerado), ,,AGIBANK,False,nenhum,,,54.79,271,58,140,73,1058431,790848,693843,2021_tri_01.csv,2026-09-15T02:12:53.964599+00:00
2021,1,Grupo Secundário,Conglomerado,AGIBANK (conglomerado), ,,AGIBANK,False,nenhum,,,54.79,271,58,140,73,1058431,790848,693843,2021_tri_01.csv,2026-09-15T02:10:28.072077+00:00
2021,1,Grupo Secundário,Conglomerado,AGIBANK (conglomerado), ,,AGIBANK,False,nenhum,,,54.79,271,58,140,73,1058431,790848,693843,2021_tri_01.csv,2026-09-15T02:03:56.391554+00:00
2021,1,Grupo Secundário,Conglomerado,AGIBANK (conglomerado), ,,AGIBANK,False,nenhum,,,54.79,271,58,140,73,1058431,790848,693843,2021_tri_01.csv,2026-09-15T02:14:47.727635+00:00
2021,1,Grupo Secundário,Banco/financeira,"AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO",36321990,36321990,AGORACRED SOCIEDADE DE CREDITO FINANCIAMENTO E INVESTIMENTO,True,cnpj,S4,AGORACRED S/A SCFI,,6,3,3,0,420692,129,420563,2021_tri_01.csv,2026-09-15T02:14:48.118409+00:00
2021,1,Grupo Secundário,Banco/financeira,"AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO",36321990,36321990,AGORACRED SOCIEDADE DE CREDITO FINANCIAMENTO E INVESTIMENTO,True,cnpj,S4,AGORACRED S/A SCFI,,6,3,3,0,420692,129,420563,2021_tri_01.csv,2026-09-15T02:03:56.177533+00:00
2021,1,Grupo Secundário,Banco/financeira,"AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO",36321990,36321990,AGORACRED SOCIEDADE DE CREDITO FINANCIAMENTO E INVESTIMENTO,True,cnpj,S4,AGORACRED S/A SCFI,,6,3,3,0,420692,129,420563,2021_tri_01.csv,2026-09-15T02:10:28.413856+00:00
2021,1,Grupo Secundário,Banco/financeira,"AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO",36321990,36321990,AGORACRED SOCIEDADE DE CREDITO FINANCIAMENTO E INVESTIMENTO,True,cnpj,S4,AGORACRED S/A SCFI,,6,3,3,0,420692,129,420563,2021_tri_01.csv,2026-09-15T02:12:53.833878+00:00
2021,1,Grupo Secundário,Banco/financeira,"AL5 S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO",27214112,27214112,AL5 CREDITO FINANCIAMENTO E INVESTIMENTO,False,nenhum,,,,2,1,1,0,12645,4979,10112,2021_tri_01.csv,2026-09-15T02:14:48.021512+00:00
2021,1,Grupo Secundário,Banco/financeira,"AL5 S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO",27214112,27214112,AL5 CREDITO FINANCIAMENTO E INVESTIMENTO,False,nenhum,,,,2,1,1,0,12645,4979,10112,2021_tri_01.csv,2026-09-15T02:10:28.547933+00:00
